Year,50lanes,XXopp,XXdcfc,100bus,50bus,XXbus/yr,current,,fuel_reg,fuel_elec,mo_reg,mo_elec,cost_elec,nbus
0,3539800,160000,220000,15750000,7875000,0,0,,0.6,0.1,50000,7000,750000,21
1,3610596,163200,224400,15998247.3,8827865.55,3706164.3,1657483.8,,,,,,,
2,3681392,166400,228800,16246494.6,9780731.1,7211009.1,3314967.6,,nmiles,nopp,ndcfc,costopp,costdcfc,mo
3,3752188,169600,233200,16494741.9,10733596.65,10514534.4,4972451.4,,48213,4,11,40000,20000,2%
4,3822984,172800,237600,16742989.2,11686462.2,13616740.2,6629935.2,,,,,,,
5,3893780,176000,242000,16991236.5,12639327.75,16517626.5,8287419,,bus/yr,,,,,
6,3964576,179200,246400,17239483.8,13592193.3,19217193.3,9944902.8,,3,,,,,
7,4035372,182400,250800,17487731.1,14545058.85,21715440.6,11602386.6,,,,,,,
8,4106168,185600,255200,17735978.4,15497924.4,21963687.9,13259870.4,,cost/ebus/yr,cost/rbus/yr,,,,
9,4176964,188800,259600,17984225.7,16450789.95,22211935.2,14917354.2,,11821.3,78927.8,,,,
10,4247760,192000,264000,18232473,17403655.5,22460182.5,16574838,,,,,,,
11,4318556,195200,268400,18480720.3,18356521.05,22708429.8,18232321.8,,,,,,,
12,4389352,198400,272800,18728967.6,19309386.6,22956677.1,19889805.6,,,,,,,
13,4460148,201600,277200,18977214.9,20262252.15,23204924.4,21547289.4,,,,,,,
14,4530944,204800,281600,19225462.2,21215117.7,23453171.7,23204773.2,,,,,,,
15,4601740,208000,286000,19473709.5,22167983.25,23701419,24862257,,,,,,,
16,4672536,211200,290400,19721956.8,23120848.8,23949666.3,26519740.8,,,,,,,
17,4743332,214400,294800,19970204.1,24073714.35,24197913.6,28177224.6,,,,,,,
18,4814128,217600,299200,20218451.4,25026579.9,24446160.9,29834708.4,,,,,,,
19,4884924,220800,303600,20466698.7,25979445.45,24694408.2,31492192.2,,,,,,,
20,4955720,224000,308000,20714946,26932311,24942655.5,33149676,,,,,,,
21,5026516,227200,312400,20963193.3,27885176.55,25190902.8,34807159.8,,,,,,,
22,5097312,230400,316800,21211440.6,28838042.1,25439150.1,36464643.6,,,,,,,
23,5168108,233600,321200,21459687.9,29790907.65,25687397.4,38122127.4,,,,,,,